Player,Round,RoundLength,lambda_HRs,lambda_boot_mean,lambda_boot_std,lambda_boot_p5,lambda_boot_p95,lambda_boot_cv
Byron Buxton,3,2,12.486897,12.74279634475708,1.675896311892743,10.435911655426025,15.514841461181641,0.13151715420628823
Junior Caminero,3,2,16.599533,15.523803424835204,2.0183469326087624,12.987292289733887,19.109870147705077,0.1300162645308805
Jazz Chisholm Jr.,3,2,12.522306,12.59986925125122,1.602878495435937,9.916912698745728,15.264314937591552,0.12721389908683095
Oneil Cruz,3,2,15.095386,17.060624523162844,1.8853182382618758,14.381880760192871,20.607429695129394,0.11050698851628905
Matt Olson,3,2,13.400246,14.535025005340577,1.942149508787025,11.781424474716186,17.38316888809204,0.13361858738278226
Cal Raleigh,3,2,17.211142,16.392779512405397,1.8147847307269136,14.080965185165406,19.14485216140747,0.11070634661764085
Brent Rooker,3,2,13.277347,15.038949842453002,1.6553802714393464,12.364392757415771,17.979801368713378,0.1100728633834806
James Wood,3,2,14.42938,15.430178022384643,1.8979561961818447,12.711283493041993,19.060593223571775,0.12300287096030062
Byron Buxton,2,2,13.67427,13.3531099319458,1.6576861702186614,10.71034870147705,16.121830940246582,0.12414232929011056
Junior Caminero,2,2,16.304516,15.497250423431396,2.084592554584064,12.744129657745361,19.094178771972654,0.1345137038911251
Jazz Chisholm Jr.,2,2,12.3647995,12.522224779129028,1.5753916431964716,10.094549655914307,15.16688380241394,0.1258076476811213
Oneil Cruz,2,2,14.960445,17.016913022994995,1.863606213897764,14.404507493972778,20.504265403747556,0.10951494030553417
Matt Olson,2,2,13.400246,14.447428674697877,1.8998495366261512,12.096742916107178,17.27340965270996,0.13150087668910956
Cal Raleigh,2,2,16.99466,16.349725093841553,1.7589388577246254,13.932642936706543,19.17863759994507,0.10758216713913829
Brent Rooker,2,2,13.158659,14.950498113632202,1.648752419556491,12.255133581161498,17.702744483947754,0.11028076837474207
James Wood,2,2,14.42938,15.55866997718811,1.8447380622416685,13.217561674118041,18.846330833435058,0.1185665654549133
Byron Buxton,1,3,14.829494,15.065819320678711,1.812732671710533,12.526109266281129,18.201821517944335,0.12032088219871669
Junior Caminero,1,3,17.373985,17.124145832061767,2.4196958048914468,14.163462114334106,22.343996334075925,0.14130315337311702
Jazz Chisholm Jr.,1,3,13.023408,13.5347430229187,1.604009480746642,10.87131700515747,16.023017978668214,0.11851052347506967
Oneil Cruz,1,3,19.038054,19.704616289138794,2.258708365588997,16.60515775680542,23.65400638580322,0.11462838618349545
Matt Olson,1,3,16.078665,16.27283242225647,2.0578536346685112,13.141234350204467,19.81186943054199,0.1264594620819649
Cal Raleigh,1,3,19.363472,18.361093091964722,1.9326700612673964,15.25813694000244,21.261827754974366,0.10525898711951859
Brent Rooker,1,3,15.353098,16.586341676712035,1.7235852294271279,14.001405096054077,19.413209533691408,0.10391593655924251
James Wood,1,3,19.05193,18.550813798904418,2.2262071276092126,15.375211715698242,22.29091577529907,0.12000590118265803
